,train,test
0,20.731721878051758,17.609657287597656
1,17.271488189697266,17.032381057739258
2,16.87255859375,16.745746612548828
3,16.63369369506836,16.545330047607422
4,16.449487686157227,16.376480102539062
5,16.27935218811035,16.211135864257812
6,16.14215660095215,16.089366912841797
7,16.02427101135254,15.980202674865723
8,15.915876388549805,15.87427806854248
9,15.812758445739746,15.773151397705078
10,15.71169376373291,15.661623001098633
11,15.613119125366211,15.550317764282227
12,15.511933326721191,15.443406105041504
13,15.410086631774902,15.335517883300781
14,15.312213897705078,15.234668731689453
15,15.222023963928223,15.144787788391113
16,15.140429496765137,15.073097229003906
17,15.070549964904785,15.007360458374023
18,15.009125709533691,14.95923137664795
19,14.953971862792969,14.908955574035645
20,14.906407356262207,14.8693208694458
21,14.862726211547852,14.820404052734375
22,14.822303771972656,14.775160789489746
23,14.784403800964355,14.745213508605957
24,14.748957633972168,14.715635299682617
25,14.716726303100586,14.679497718811035
26,14.684122085571289,14.642906188964844
27,14.657106399536133,14.611612319946289
28,14.62725830078125,14.58460807800293
29,14.602540016174316,14.561266899108887
30,14.576889991760254,14.537055015563965
31,14.551767349243164,14.510398864746094
32,14.529195785522461,14.489508628845215
33,14.507862091064453,14.468364715576172
34,14.485240936279297,14.445239067077637
35,14.465300559997559,14.4207181930542
36,14.445746421813965,14.409636497497559
37,14.425419807434082,14.382250785827637
38,14.407585144042969,14.368021011352539
39,14.3899507522583,14.35495376586914
40,14.373648643493652,14.330879211425781
41,14.356395721435547,14.310470581054688
42,14.340250015258789,14.295087814331055
43,14.324609756469727,14.274752616882324
44,14.308106422424316,14.257282257080078
45,14.295306205749512,14.251721382141113
46,14.279695510864258,14.236160278320312
47,14.263587951660156,14.22143268585205
48,14.252547264099121,14.204604148864746
49,14.23571491241455,14.192486763000488
50,14.226530075073242,14.186824798583984
51,14.21279525756836,14.165348052978516
52,14.200583457946777,14.158445358276367
53,14.189350128173828,14.142839431762695
54,14.177555084228516,14.128533363342285
55,14.16610050201416,14.122429847717285
56,14.15354061126709,14.105562210083008
57,14.143145561218262,14.109293937683105
58,14.131658554077148,14.084115028381348
59,14.121817588806152,14.072356224060059
60,14.110491752624512,14.06710147857666
61,14.100775718688965,14.056453704833984
62,14.089296340942383,14.046590805053711
63,14.080463409423828,14.034786224365234
64,14.070168495178223,14.022327423095703
65,14.060243606567383,14.01579761505127
66,14.050359725952148,14.009622573852539
67,14.042030334472656,13.996872901916504
68,14.032183647155762,14.00140380859375
69,14.022128105163574,13.983274459838867
70,14.012860298156738,13.970966339111328
71,14.002741813659668,13.962745666503906
72,13.994758605957031,13.956385612487793
73,13.985928535461426,13.948661804199219
74,13.977615356445312,13.934410095214844
75,13.968774795532227,13.923134803771973
76,13.962020874023438,13.91490650177002
77,13.953278541564941,13.911066055297852
78,13.944266319274902,13.907007217407227
79,13.937813758850098,13.896333694458008
80,13.929430961608887,13.881993293762207
81,13.922805786132812,13.876043319702148
82,13.914273262023926,13.874687194824219
83,13.907901763916016,13.861897468566895
84,13.90005111694336,13.865259170532227
85,13.893274307250977,13.847301483154297
86,13.885324478149414,13.84288501739502
87,13.880133628845215,13.836268424987793
88,13.871659278869629,13.831197738647461
89,13.864078521728516,13.822701454162598
90,13.858614921569824,13.813490867614746
91,13.85152816772461,13.808082580566406
92,13.845505714416504,13.80014705657959
93,13.837967872619629,13.790902137756348
94,13.832794189453125,13.79038143157959
95,13.827502250671387,13.783171653747559
96,13.818084716796875,13.77531623840332
97,13.814557075500488,13.772359848022461
98,13.807947158813477,13.766931533813477
99,13.80155086517334,13.763324737548828
100,13.795368194580078,13.757671356201172
101,13.789300918579102,13.751378059387207
102,13.78393268585205,13.741196632385254
103,13.779370307922363,13.739975929260254
104,13.773014068603516,13.732760429382324
105,13.767328262329102,13.734227180480957
106,13.761002540588379,13.72139835357666
107,13.753737449645996,13.717435836791992
108,13.748722076416016,13.704099655151367
109,13.743756294250488,13.69761848449707
110,13.738028526306152,13.689825057983398
111,13.73167896270752,13.690570831298828
112,13.726531982421875,13.683136940002441
113,13.722785949707031,13.68069076538086
114,13.719182968139648,13.66112232208252
115,13.711019515991211,13.667747497558594
116,13.704680442810059,13.662528991699219
117,13.700370788574219,13.655830383300781
118,13.696829795837402,13.646467208862305
119,13.6886625289917,13.64105224609375
120,13.687594413757324,13.636292457580566
121,13.679959297180176,13.625954627990723
122,13.67564582824707,13.622615814208984
123,13.672301292419434,13.624316215515137
124,13.666519165039062,13.625648498535156
125,13.661486625671387,13.617416381835938
126,13.658531188964844,13.609979629516602
127,13.653666496276855,13.609609603881836
128,13.649494171142578,13.604680061340332
129,13.643662452697754,13.602763175964355
130,13.638867378234863,13.589442253112793
131,13.633626937866211,13.590694427490234
132,13.632475852966309,13.573368072509766
133,13.625627517700195,13.58268928527832
134,13.624427795410156,13.57888412475586
135,13.617730140686035,13.57645034790039
136,13.612308502197266,13.570738792419434
137,13.61042308807373,13.558764457702637
138,13.606304168701172,13.563538551330566
139,13.602278709411621,13.559652328491211
140,13.599011421203613,13.548823356628418
141,13.595175743103027,13.552658081054688
142,13.592107772827148,13.54903507232666
143,13.587072372436523,13.530623435974121
144,13.583171844482422,13.5418119430542
145,13.580266952514648,13.53223705291748
146,13.576558113098145,13.520218849182129
147,13.571434020996094,13.534801483154297
148,13.569191932678223,13.528313636779785
149,13.566767692565918,13.512784004211426
150,13.562614440917969,13.521507263183594
151,13.555920600891113,13.503355979919434
152,13.555130958557129,13.508994102478027
153,13.554450035095215,13.50812816619873
154,13.546048164367676,13.495802879333496
155,13.545987129211426,13.49650764465332
156,13.540026664733887,13.4890775680542
157,13.538934707641602,13.490527153015137
158,13.533860206604004,13.486793518066406
159,13.532262802124023,13.485278129577637
160,13.53077220916748,13.482673645019531
161,13.52428913116455,13.48977279663086
162,13.521544456481934,13.485684394836426
163,13.517887115478516,13.470978736877441
164,13.518279075622559,13.464347839355469
165,13.515600204467773,13.462261199951172
166,13.510371208190918,13.470014572143555
167,13.50700855255127,13.461995124816895
168,13.504883766174316,13.464402198791504
169,13.50404167175293,13.460110664367676
170,13.49740219116211,13.459088325500488
171,13.494933128356934,13.466562271118164
172,13.491302490234375,13.447267532348633
173,13.488595962524414,13.450915336608887
174,13.487797737121582,13.451467514038086
175,13.484697341918945,13.449687957763672
176,13.480822563171387,13.445499420166016
177,13.478046417236328,13.437295913696289
178,13.477625846862793,13.42267894744873
179,13.472663879394531,13.435410499572754
180,13.470008850097656,13.428483963012695
181,13.467537879943848,13.423585891723633
182,13.46683406829834,13.418909072875977
183,13.461962699890137,13.415968894958496
184,13.458499908447266,13.41650104522705
185,13.455686569213867,13.412516593933105
186,13.457263946533203,13.40788459777832
187,13.451581954956055,13.411484718322754
188,13.451382637023926,13.40067195892334
189,13.447117805480957,13.410728454589844
190,13.444878578186035,13.396092414855957
191,13.441154479980469,13.390046119689941
192,13.43910026550293,13.390292167663574
193,13.437414169311523,13.395047187805176
194,13.434532165527344,13.396470069885254
195,13.43266773223877,13.381012916564941
196,13.429859161376953,13.391658782958984
197,13.425666809082031,13.390007972717285
198,13.422975540161133,13.371994018554688
199,13.422704696655273,13.372501373291016
